Bot Score:,0,Player Score: ,0,Time Between Rounds: ,3.16
Bot Score:,1,Player Score: ,0,Time Between Rounds: ,7.82
Bot Score:,2,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,3,Player Score: ,0,Time Between Rounds: ,7.82
Bot Score:,4,Player Score: ,0,Time Between Rounds: ,3.18
