Bot Score:,0,Player Score: ,0,Time Between Rounds: ,17.68
Bot Score:,1,Player Score: ,0,Time Between Rounds: ,14.76
Bot Score:,2,Player Score: ,0,Time Between Rounds: ,11.48
Total Time:,47.85184
